universalid,title,authorinfo,genre,notes
lt1212w005,Anechomenos,"<author>Apuleius Madaurensis</author>. <work>Anechomenos</work>  et Fragments</work>, ed. J. Beaujeu, 1973).",Poem.,
lt1212w006,carmina,<author>Apuleius Madaurensis</author>. carmina .,Poem.,
lt1221w001,carmina,<author>C. Iulius Caesar Augustus Octavianus</author>. carmina .,Poem.,
lt1224w001,carmen,<author>M. Aurelius</author>. carmen .,Poem.,
lt1242w003,carmina in Anthologia Latina,<author>Annius Florus</author>. carmina in Anthologia Latina .,Poem.,
lt1242w004,carmina,<author>Annius Florus</author>. carmina .,Poem.,
lt1318w003,versus,<author>C. Plinius Caecilius Secundus</author>. versus .,Poem.,
lt0022w011,Origines,<author>M. Porcius Cato</author>. <work>Origines</work> .,Polyhist.,
lt0684w003,Antiquitates Rerum Humanarum,<author>M. Terentius Varro</author>. <work>Antiquitates Rerum Humanarum</work> .,Polyhist.,
lt0684w004,Antiquitates Rerum Divinarum,<author>M. Terentius Varro</author>. <work>Antiquitates Rerum Divinarum</work> .,Polyhist.,
lt0684w006,De Gente Populi Romani,<author>M. Terentius Varro</author>. <work>De Gente Populi Romani</work> .,Polyhist.,
lt0684w007,De Vita Populi Romani,<author>M. Terentius Varro</author>. <work>De Vita Populi Romani</work> .,Polyhist.,
lt0684w008,Res Urbanae,<author>M. Terentius Varro</author>. <work>Res Urbanae</work> .,Polyhist.,
lt0842w001,Libri Rerum Romanarum,<author>C. Clodius Licinus</author>. <work>Libri Rerum Romanarum</work> .,Polyhist.,
lt1038w001,Facta et Dicta Memorabilia,<author>Valerius Maximus</author>. <work>Facta et Dicta Memorabilia</work> .,Polyhist.,
lt1254w001,Noctes Atticae,<author>A. Gellius</author>. <work>Noctes Atticae</work> 1–20 .,Polyhist.,
lt1348w005,Prata,<author>C. Suetonius Tranquillus</author>. <work>Prata</work> .,Polyhist.,
lt0022w012,De Rhetorica,<author>M. Porcius Cato</author>. <work>De Rhetorica</work> .,Rhet.,
lt0474w036,De Inventione,<author>M. Tullius Cicero</author>. <work>De Inventione</work> .,Rhet.,
lt0474w037,De Oratore,<author>M. Tullius Cicero</author>. <work>De Oratore</work> .,Rhet.,
lt0474w038,De Partitione Oratoria,<author>M. Tullius Cicero</author>. <work>De Partitione Oratoria</work> .,Rhet.,
lt0474w039,Brutus,<author>M. Tullius Cicero</author>. <work>Brutus</work> .,Rhet.,
lt0474w040,Orator,<author>M. Tullius Cicero</author>. <work>Orator</work> .,Rhet.,
lt0474w041,De Optimo Genere Oratorum,<author>M. Tullius Cicero</author>. <work>De Optimo Genere Oratorum</work> .,Rhet.,
lt0474w042,Topica,<author>M. Tullius Cicero</author>. <work>Topica</work> .,Rhet.,
lt0474w065,Hortensius,<author>M. Tullius Cicero</author>. <work>Hortensius</work> .,Rhet.,
lt0474w073,Rhetorica ad Herennium [sp.],<author>M. Tullius Cicero</author>. <work>Rhetorica ad Herennium</work> [sp.] .,Rhet.,
lt0836w003,De Rhetorica,<author>A. Cornelius Celsus</author>. <work>De Rhetorica</work> .,Rhet.,
lt1002w001,Institutio Oratoria,<author>M. Fabius Quintilianus</author>. <work>Institutio Oratoria</work> .,Rhet.,
lt1248w004,De Eloquentia,<author>M. Cornelius Fronto</author>. <work>Ad Antonin. Imp. De Eloquentia</work> .,Rhet.,
lt1248w005,De Orationibus,<author>M. Cornelius Fronto</author>. <work>Ad Antonin. Imp. De Orationibus</work> .,Rhet.,
lt1351w003,Dialogus de Oratoribus,<author>Cornelius Tacitus</author>. <work>Dialogus de Oratoribus</work> .,Rhet.,
lt0043w004,Saturae,<author>Q. Ennius</author>. <work>Saturae</work> .,Satura,
lt0097w001,"Saturae, fragmenta","<author>C. Lucilius</author>. <work>Saturae</work>, fragmenta .",Satura,
lt0684w011,Menippeae,<author>M. Terentius Varro</author>. <work>Menippeae</work> .,Satura,
lt0969w001,Saturae,<author>A. Persius Flaccus</author>. <work>Saturae</work> .,Satura,
lt1276w001,Saturae,<author>D. Iunius Iuvenalis</author>. <work>Saturae</work> .,Satura,
lt1029w001,satura,<author>Turnus</author>. satura .,Satura,
lt0022w008,De Re Militari,<author>M. Porcius Cato</author>. <work>De Re Militari</work> .,Tact.,
lt1245w001,Strategemata,<author>Sex. Iulius Frontinus</author>. <work>Strategemata</work> .,Tact.,
lt1266w005,De Munition. Castrorum [sp.],<author>Hyginus Gromaticus</author>. <work>De Munition. Castrorum</work> [sp.] .,Tact.,
lt0959w011,Medea,<author>P. Ovidius Naso</author>. <work>Medea</work> .,Trag.,
lt1017w001,Hercules Furens,<author>L. Annaeus Seneca iunior</author>. <work>Hercules Furens</work> .,Trag.,
lt1017w002,Troades,<author>L. Annaeus Seneca iunior</author>. <work>Troades</work> .,Trag.,
lt1017w003,Phoenissae,<author>L. Annaeus Seneca iunior</author>. <work>Phoenissae</work> .,Trag.,
lt1017w004,Medea,<author>L. Annaeus Seneca iunior</author>. <work>Medea</work> .,Trag.,
lt1017w005,Phaedra,<author>L. Annaeus Seneca iunior</author>. <work>Phaedra</work> .,Trag.,
lt1017w006,Oedipus,<author>L. Annaeus Seneca iunior</author>. <work>Oedipus</work> .,Trag.,
lt1017w007,Agamemnon,<author>L. Annaeus Seneca iunior</author>. <work>Agamemnon</work> .,Trag.,
lt1017w008,Thyestes,<author>L. Annaeus Seneca iunior</author>. <work>Thyestes</work> .,Trag.,
lt1017w009,Hercules Oetaeus,<author>L. Annaeus Seneca iunior</author>. <work>Hercules Oetaeus</work> .,Trag.,
lt1017w010,Octavia [sp.],<author>L. Annaeus Seneca iunior</author>. <work>Octavia</work> [sp.] .,Trag.,
lt0022w009,Carmen De Moribus,<author>M. Porcius Cato</author>. <work>Carmen De Moribus</work> .,,
lt0082w001,versio Latina Magonis,<author>D. Iunius Silanus</author>. versio Latina Magonis .,,
lt0103w001,praecepta,<author>Cn. Marcius vates</author>. <work>Praecepta</work> .,,
lt0106w001,versus in Naevium,<author>Caecilius Metellus</author>. versus in Naevium .,,
lt0112w006,"carmina, frr. a Morel omissa","<author>Cn. Naevius</author>. carmina, frag. a Morel omissa .",,
lt0112w007,versus in Metellos [sp.],<author>Cn. Naevius</author>. versus in Metellos [sp.] .,,
lt0125w001,fragmentum,<author>P. Mucius Scaevola</author>. fragmentum .,,
lt0312w001,"carmina, fragmentum","<author>Fabius Dossennus</author>. carmina, fragmentum .",,
lt0321w001,carmina,<author>Porcius Licinus</author>. carmina .,,
lt0330w001,carmina,<author>Volcacius Sedigitus</author>. carmina .,,
lt0400w001,carmina,<author>L. Accius</author>. carmina .,,
lt0409w001,"carmina, fragmenta","<author>Q. Cornificius</author>. carmina, fragmenta .",,
lt0410w001,frg.,<author>Aprissius (?)</author>. fragmentum .,,
lt0413w002,fragmentum,<author>Gavius Bassus</author>. fragmentum .,,
lt0432w001,carmina,<author>M. Furius Bibaculus</author>. carmina .,,
lt0442w002,fragmentum,<author>A. Caecina</author>. fragmentum. <work>Scholiorum Veronensium in Vergilii Bucolica Georgica Aeneidem Fragmenta</work> .,Comm.,
lt0450w001,"Auspiciorum Liber, fragmenta","<author>L. Iulius Caesar</author>. <work>Auspiciorum Liber, fragmenta</work> .",,
lt0466w001,"Liber Bene Dictorum, frr. duo","<author>A. Cascellius</author>. <work>Liber Bene Dictorum</work>, frr. duo .",,
lt0496w001,Comment. Anquisit. Sergii,  <work>Commentarius Anquisitionis M'. Sergii M'. f. Quaestoris</work> .,,
lt0518w001,carmina,<author>A. Furius Antias</author>. carmina .,,
lt0527w001,carmina,<author>Gannius</author>. sine nomine .,,
lt0538w001,carmina,<author>Laevius</author>. carmina .,,
lt0550w002,fragmenta,<author>T. Lucretius Carus</author>. fragmenta .,,
lt0550w003,Capitula,<author>T. Lucretius Carus</author>. capitula .,,
lt0568w001,carmina,<author>Cn. Matius</author>. carmina .,,
lt0574w001,carmina,<author>C. Memmius L. f.</author>. carmina .,,
lt0576w001,De Familiis Romanis,<author>M. Valerius Messalla Rufus</author>. <work>De Familiis Romanis</work> .,,
lt0576w002,De Auspiciis,<author>M. Valerius Messalla Rufus</author>. <work>De Auspiciis</work> .,,
lt0588w002,fragmenta,<author>Cornelius Nepos</author>. fragmenta .,,
lt0600w002,vitae,<author>C. Oppius</author>. vitae .,,
lt0630w001,Sacra Argeorum,  <work>Sacra Argeorum</work> .,,
lt0636w001,carmina,<author>Q. Mucius Scaevola</author>. carmina .,,
lt0642w001,carmen,<author>Sevius Nicanor</author>. carmen .,,
lt0644w001,carmen,<author>Sextilius Ena</author>. carmen .,,
lt0646w002,Milesiae,<author>L. Cornelius Sisenna</author>. <work>Milesiae</work> .,,
lt0650w001,carmina,<author>Sueius</author>. carmina .,,
lt0658w001,Tabulae Censoriae,  <work>Tabulae Censoriae</work> .,,
lt0660w002,carmina Tibulliana [sp.],<author>Albius Tibullus</author>. carmina Tibulliana [sp.] .,,
lt0661w001,carmina,<author>Ticidas</author>. carmina .,,
lt0670w002,"liber ad C. Oppium, fr.","<author>Q. Aelius Tubero</author>. liber ad C. Oppium, fr. .",,
lt0678w001,carmina,<author>Q. Valerius Soranus</author>. carmina .,,
lt0680w001,carmina,<author>C. Valgius Rufus</author>. carmina .,,
lt0682w001,carmina,<author>L. Varius Rufus</author>. carmina .,,
lt0694w001,carmen,<author>Volumnius</author>. carmen .,,
lt0703w001,carmen,<author>Arbonius Silo</author>. carmen .,,
lt0709w001,carmina,<author>Domitius Marsus</author>. carmina .,,
lt0730w001,"De Disciplina Etrusca, frr.","<author>Tarquitius Priscus</author>. <work>De Disciplina Etrusca</work>, fragmentum .",,
lt0800w001,carmina,<author>Albinovanus Pedo</author>. carmina .,,
lt0812w001,carmen,<author>C. Caesius Bassus</author>. carmen .,,
lt0851w001,carmina,<author>Cornelius Severus</author>. carmina .,,
lt0851w002,fragmenta a Morel omissa,<author>Cornelius Severus</author>. fragmenta a Morel omissa .,,
lt0854w001,versus in Vergilium,<author>Cornificius Gallus</author>. versus in Vergilium .,,
lt0863w001,carmen,<author>Dorcatius</author>. carmen .,,
lt0869w001,Etruscarum Rerum Libri,<author>M. Verrius Flaccus</author>. <work>Etruscarum Rerum Libri</work> .,,
lt0875w001,carmen,<author>Cn. Cornelius Lentulus Gaetulicus</author>. carmen .,,
lt0878w001,carmen,<author>C. Asinius Gallus</author>. carmen .,,
lt0917w002,carmina,<author>M. Annaeus Lucanus</author>. carmina .,,
